# Name          Mean        SD         Minimum    Maximum   Q10                Median             Q90              
  flag_sp       1.5202982   20.941092  0          1412      0.0                0.0                4.0              
  flag_fe_h     0.048320282 0.84569496 0          18        0.0                0.0                0.0              
  chi2_sp       3.2113934   17.412512  0.08374478 1780.6821 0.4991784691810608 1.3080657720565796 5.727274417877197
  flag_alpha_fe 0.18130796  2.4018705  0          32        0.0                0.0                0.0              
  flag_Li_fe    14.119384   15.402315  0          32        1.0                1.0                32.0             
  flag_C_fe     31.90507    1.7403309  0          32        32.0               32.0               32.0             
  flag_O_fe     0.69917417  4.6023183  0          32        0.0                0.0                0.0              
  flag_Na_fe    0.47245905  3.8545246  0          32        0.0                0.0                0.0              
  flag_Mg_fe    1.158404    5.9761     0          32        0.0                0.0                0.0              
  flag_Al_fe    0.18165539  2.3629684  0          32        0.0                0.0                0.0              
  flag_Si_fe    0.27891067  2.9738925  0          32        0.0                0.0                0.0              
  flag_K_fe     2.4042013   8.433432   0          32        0.0                0.0                0.0              
  flag_Ca_fe    0.62287194  4.4199147  0          32        0.0                0.0                0.0              
  flag_Sc_fe    0.19004731  2.457559   0          32        0.0                0.0                0.0              
  flag_Sc2_fe   0.0         0.0        0          0         0.0                0.0                0.0              
  flag_Ti_fe    0.9741027   5.4974914  0          32        0.0                0.0                0.0              
  flag_Ti2_fe   1.9439292   7.6437473  0          32        0.0                0.0                0.0              
  flag_V_fe     8.245557    13.988319  0          32        0.0                0.0                32.0             
  flag_Cr_fe    0.3187054   3.162288   0          32        0.0                0.0                0.0              
  flag_Cr2_fe   0.0         0.0        0          0         0.0                0.0                0.0              
  flag_Mn_fe    1.4128872   6.5737724  0          32        0.0                0.0                0.0              
  flag_Co_fe    0.73421174  4.657938   0          32        0.0                0.0                0.0              
  flag_Ni_fe    1.2088088   6.0977497  0          32        0.0                0.0                0.0              
  flag_Cu_fe    0.49039206  3.9194076  0          32        0.0                0.0                0.0              
  flag_Zn_fe    5.720929    12.260944  0          32        0.0                0.0                32.0             
  flag_Rb_fe    27.63081    10.942502  0          32        0.0                32.0               32.0             
  flag_Sr_fe    20.33255    15.058913  0          32        1.0                32.0               32.0             
  flag_Y_fe     2.9556618   9.265271   0          32        0.0                0.0                0.0              
  flag_Zr_fe    12.94898    15.7064085 0          32        0.0                0.0                32.0             
  flag_Mo_fe    29.623325   8.390768   0          32        32.0               32.0               32.0             
  flag_Ru_fe    29.028944   9.286905   0          32        32.0               32.0               32.0             
  flag_Ba_fe    0.53104204  4.0849094  0          32        0.0                0.0                0.0              
  flag_La_fe    2.79667     8.89072    0          32        0.0                0.0                1.0              
  flag_Ce_fe    1.2576369   5.5760846  0          32        0.0                0.0                1.0              
  flag_Nd_fe    4.8206964   11.319894  0          32        0.0                0.0                32.0             
  flag_Sm_fe    7.3359704   13.072548  0          32        0.0                1.0                32.0             
  flag_Eu_fe    1.2027955   5.599857   0          32        0.0                0.0                1.0              
  red_flag      0.38672262  1.7929561  0          15        0.0                0.0                0.0              
